Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
935cf119e4301df93a4a8d34d1728847,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus, uncultured_bacterium
2840d1a240afbe58c2c9fd5c47381935,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Anaerococcus, Anaerococcus_sp.
5b2c0e4e15cf64f49b7e5c0033e9d69f,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
51d80861d8ffd699f22a37df1c954aec,Bacteria, Fusobacteriota, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, uncultured_bacterium
dcb2fce64cbf37355424f8cd2c189b72,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella, uncultured_bacterium
1ccbc10a2b24b99ce1c3ba3d73c17c06,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus_parasanguinis
1b9d4068839664a1aa6f425885db2ec7,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
5e418b932f0669f9b559c22ec3ecf498,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lacticaseibacillus, Lactobacillus_rhamnosus
f98ff176706d6ff6b205ac5b11176c4c,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
c3e68d646203c61c44d33a4f55cd0ebd,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
cd1cac0e49ee0b86e782ae82fcda9726,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
a66a621fe65a3094513bd8e76690eaff,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
ba0d7d670122f0d4457d6607b1d9b994,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
ff07293176dfdb59ecb38568fa6fceb2,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
1de8a47b264ab232d1007a2f8df1487b,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
ff616f16a33af5b0ea72b31020a22f4b,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
624693bccb65f166a6437f41ce872e4f,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
a39a153fa4ffe8c77259002375bfcf40,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
beb239acdbd46bac772f72e28ee8e54f,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella_7, uncultured_bacterium
37aa54710493903d6eda29f24bd30d6d,Bacteria, Firmicutes, Clostridia, Peptococcales, Peptococcaceae, Peptococcus, Peptococcus_niger
